subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
terraform-bereitstellungsfehler,"liebes support-team, wir haben einen schweren fehler während der bereitstellung unserer terraform-infrastruktur. dies hat dazu geführt, dass die checkout-dienste für shoplink commerce nicht mehr funktionieren, weshalb eine sofortige behebung der pipeline erforderlich ist. der ausfall begann nach der letzten bereitstellung. wir benötigen dringend hilfe, um dieses problem zu beheben.",software development,software development,nan,high,4,german,german
probleme durch ausfälle der azure-pipeline,"liebes support-team, wir haben sporadische bereitstellungsfehler in azure, die die echtzeit-analyse-updates für optiinvest unterbrechen. eine vorübergehende lösung wird durch manuelle neueinsätze erreicht. bitte unterstützen sie uns.",release management,release management,nan,medium,3,german,german
probleme mit gdpr-audit-prozessen,"sehr geehrtes support-team, hier meldet sich datavest advisors mit einem problem bei cassandra 4.0, das sporadische ausfälle bei der erstellung von gdpr-konformen audit-berichten verursacht. wir haben eine manuelle zwischenlösung gefunden; jedoch ist eine dauerhafte lösung dringend innerhalb der nächsten 24 stunden erforderlich. das problem ist derzeit als mittlere priorität eingestuft, da es zwar nicht kritisch ist, aber eine zügige bearbeitung erfordert. unsere umgebung verwendet die neueste cassandra 4.0 installation. wir wären dankbar für jegliche ratschläge oder patches, die sie bereitstellen können.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
aktualisierung der zoho crm-konfiguration,"liebes support-team, ich kontaktiere sie, um ein aktualisiertes zoho crm-einrichtungsmanual anzufordern, das sich auf die notwendigen datenmigrationsverfahren für quantedge capital konzentriert. da die integration von systemen mit zoho crm zunehmend wichtig wird, ist ein umfassender und detaillierter leitfaden, der die schritte der migration beschreibt, von entscheidender bedeutung. der bestehende leitfaden deckt die spezifischen komplexitäten der datenmigration nicht vollständig ab, und wir haben verschiedene schwierigkeiten, die daten korrekt den zoho crm-feldern zuzuordnen.",customer onboarding,customer onboarding,nan,low,2,german,german
anfrage nach aktualisierter vagrant-einrichtungsdokumentation,"liebes support-team, ich suche die neueste vagrant-konfigurationsdokumentation, um bei der integration von zenithflow in unsere ci/cd-pipeline zu helfen. könnten sie bitte angaben zu eventuell erforderlichen abhängigkeiten machen? vielen dank für ihre unterstützung.",software development,software development,nan,low,2,german,german
anfrage bezüglich guthaben für babbel-konto,"liebes support-team, ich wende mich an sie, um nach einer anteiligen gutschrift für den ungenutzten teil meines babbel-abonnements zu fragen, das über die eduflex-plattform gekauft wurde. mein abonnement begann am 1. januar 2024. leider konnte ich aufgrund unerwarteter umstände den service nach dem 15. februar 2024 nicht weiter nutzen. gemäß den allgemeinen geschäftsbedingungen glaube ich, dass ich anspruch auf eine anteilige gutschrift für die verbleibende ungenutzte zeit habe. ich wäre ihnen sehr dankbar, wenn sie dieses anliegen prüfen und eine gutschrift für den ungenutzten teil meines abonnements gewähren könnten.",account & billing management,account & billing management,nan,low,2,german,german
hilfe benötigt bei problemen mit der mailchimp-integration von safehome security,"liebes support-team,\n\nich habe schwierigkeiten mit der mailchimp-integration für safehome security. die ki-gesteuerten einbruchwarnungen werden unregelmäßig zugestellt. zurzeit verlasse ich mich als vorübergehende lösung auf manuelle benachrichtigungen. ihre unterstützung bei der behebung und lösung dieses problems wäre sehr willkommen.\n\nmit freundlichen grüßen,\n<name>",security operations,security operations,nan,medium,3,german,german
verzögerung bei der aktualisierung der shopify-verkaufsinformationen,"liebes support-team, ich habe derzeit verzögerungen bei der echtzeit-anzeige der verkaufsdaten in meinem shopify-dashboard, was die erstellung der tagesberichte beeinträchtigt. zwar kann ich vorübergehend noch auf historische daten zugreifen, jedoch sind zeitnahe aktualisierungen unerlässlich, um fundierte entscheidungen treffen zu können. das problem trat kürzlich auf, und ich habe bereits versucht, den cache zu leeren und software-updates zu überprüfen, leider ohne erfolg. ich wäre ihnen sehr dankbar für ihre unterstützung bei der lösung dieses problems. vielen dank für ihre zeit und hilfe. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
alarm: sicherheitslücke auf github gefunden,"liebes support-team, ich wende mich an sie wegen einer kritischen sicherheitslücke in unserem github-repository. ein sicherheitsalarm wurde ausgelöst, und es ist wichtig, innerhalb von 24 stunden einen patch anzuwenden, um eine mögliche datenexposition zu verhindern. in der zwischenzeit wurde der zugriff vorsorglich vorübergehend eingeschränkt. bitte helfen sie uns, dieses problem umgehend zu lösen. vielen dank, <name>",security operations,security operations,nan,medium,3,german,german
problem mit text- und hintergrundkontrast im urbangrid dynamics smart-licht dashboard,"liebes support-team, ich habe ein problem mit dem urbangrid dynamics smart-licht dashboard-bericht. der kontrast zwischen text und hintergrund ist sehr gering, was das lesen und bearbeiten der adaptiven verkehrslichtkonfigurationen erschwert. dieser niedrige kontrast macht es schwierig, die beleuchtungseinstellungen anzupassen, da die sichtbarkeit der optionswerte beeinträchtigt ist. ich verwende die neueste softwareversion in einem standardbrowser. trotz versuchen, meine bildschirmeinstellungen zu ändern, besteht das problem weiterhin. ich wäre ihnen dankbar für ihre unterstützung bei der lösung dieses problems.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
ungenauer anteiliger guthabenabzug für retailvision-abonnement,"liebes support-team, ich habe probleme mit falschen anteiligen gutschriften, wenn ich mein retailvision-abonnement bei quickbooks online herunterstufe. bitte helfen sie, diese unstimmigkeit innerhalb der nächsten 24 stunden zu beheben. vielen dank, <name>",account & billing management,account & billing management,nan,medium,3,german,german
fehler bei der alteryx-datenmigration,"liebes support-team, ich melde ein ernstes problem mit der alteryx-integration während des onboarding-prozesses des skillwave-kunden. ein fehler verhindert die ki-fähigkeitslückenanalyse, und es ist sofortiges handeln erforderlich, um den zugriff wiederherzustellen. das problem begann gestern um 10:00 uhr est, als unser team versuchte, daten aus dem altsystem in alteryx zu übertragen. obwohl die dokumentierten verfahren befolgt wurden, stoppte die migration mit einer fehlermeldung, die auf einen verbindungszeitüberschreitung im system hinweist.",customer onboarding,customer onboarding,nan,high,4,german,german
probleme mit google meet,"liebes support-team, ich habe gelegentlich fehler mit der google meet api, die zu verzögerungen bei der automatisierten planung von partnermeetings führen. zwar gibt es momentan eine manuelle notlösung, aber ich mache mir sorgen, wie diese fehler unsere abläufe beeinträchtigen. die fehler treten unregelmäßig, aber häufig genug auf, um spürbare verzögerungen zu verursachen. trotz versuchen, das problem zu beheben, tritt es weiterhin auf. ich wäre ihnen dankbar, wenn sie mir helfen könnten, dieses problem so schnell wie möglich zu lösen. die fehler traten vor einigen tagen erstmals auf und wurden mehrmals täglich beobachtet. zur veranschaulichung habe ich einen screenshot der fehlermeldung beigefügt.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
verstoß gegen die dsgvo-konformität,"sehr geehrtes support-team, wir haben eine schwerwiegende störung mit oracle database 19c, die die compliance-überwachung von legallink beeinträchtigt. dieses problem muss dringend eskaliert werden, um bußgelder wegen dsgvo-verstößen zu vermeiden. - <name>",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
fehler bei der synchronisierung der smartwatch,"liebes support-team, ich melde ein kritisches problem mit der ecologix smartwatch, das die fertigstellung des onboarding-prozesses blockiert. das gerät kann speziell keine daten synchronisieren, was die migration der kohlenstoffdaten stoppt. dieses problem ist dringend und muss innerhalb der nächsten 4 stunden gelöst werden, um die datenintegrität zu gewährleisten. die smartwatch läuft mit der neuesten softwareversion, und mehrere neustarts des geräts wurden erfolglos versucht. die internetverbindung wurde ebenfalls überprüft und als stabil bestätigt.",customer onboarding,customer onboarding,nan,high,4,german,german
problem mit der hubspot-datensynchronisierung,"liebes support-team,\n\ndiese nachricht stammt von datavest advisors und betrifft ein problem während der hubspot crm-einrichtung. wir haben häufige synchronisationsfehler bei kundendaten. dieses problem besteht bereits seit mehreren tagen. obwohl eine vorübergehende lösung gefunden wurde, benötigen wir innerhalb von 24 stunden eine dauerhafte lösung, um betriebsunterbrechungen zu vermeiden. das problem tritt sowohl unter windows als auch macos auf und betrifft mehrere browser wie chrome und firefox. ein screenshot ist zur referenz beigefügt.",customer onboarding,customer onboarding,nan,medium,3,german,german
fehlerbehebung erforderlich für airtable-synchronisierungsproblem,"liebes support-team,\n\nich habe gelegentlich probleme mit der airtable-synchronisierung, die dazu führen, dass veraltete produktlisten auf der shoplink commerce-plattform angezeigt werden. dieses problem begann vor einigen tagen und tritt weiterhin sporadisch auf. während manuelle aktualisierungen eine vorübergehende lösung bieten, wird eine dauerhafte behebung benötigt.\n\nich wäre ihnen dankbar für ihre schnelle unterstützung bei der lösung dieses problems.\n\nvielen dank, <name>",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
gemeldetes problem mit niedrigem kontrast in powerpoint-diagrammvorlagen,"sehr geehrtes support-team,<br>ich möchte ein problem melden, das ich mit powerpoint erlebt habe, insbesondere im zusammenhang mit den enthaltenen diagrammvorlagen. die standard-farbschemata in diesen vorlagen verwenden sehr helle farbtöne, wodurch die klarheit der dargestellten daten verringert wird. folglich wird es schwierig, informationen klar an das publikum zu vermitteln.<br>ich arbeite bei datavest advisors, wo effektive datenvisualisierung für unsere präsentationen unerlässlich ist. wir sind stark auf powerpoint angewiesen, um ansprechende und informative folien zu gestalten. das problem mit dem niedrigen kontrast...",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
probleme bei der herstellung von vpn-verbindungen,"liebes support-team, ich melde intermittierende unterbrechungen bei der sophos home vpn-verbindung, die von healthguard systems verwendet wird. dieses problem beeinträchtigt die sichere patientenkommunikation und führt zu verbindungsabbrüchen. obwohl das problem sporadisch auftritt, geschieht es häufig genug, um unseren arbeitsablauf zu stören. wir haben festgestellt, dass die nutzung von telefon-relais als vorübergehende lösung dient, aber wir benötigen eine nachhaltige langfristige lösung. ihre schnelle unterstützung bei der behebung dieses problems wäre sehr willkommen. diese störungen treten seit der vergangenen woche auf, einschließlich jüngster vorkommnisse.",network infrastructure,network infrastructure,nan,medium,3,german,german
